id,start_date,end_date,low,medium,high
500609,1392-09-11,1392-10-14,0,0,35320
400527,1392-10-14,1392-11-06,21480,29420,13280
500609,1392-10-14,1392-11-06,0,0,0
400242,1392-11-02,1392-11-29,5370,8310,2790
500563,1391-12-29,1392-02-02,0,19680,3920
400242,1392-01-17,1392-02-07,0,2340,780
500609,1392-01-19,1392-02-12,0,0,36840
400242,1392-02-07,1392-03-02,1350,3150,1020
500609,1392-02-12,1392-03-09,0,0,41440
500563,1392-05-23,1392-06-24,0,14200,2760
400242,1392-05-31,1392-07-04,2520,5430,1560
500563,1392-07-28,1392-08-26,0,13880,2720
400242,1392-08-05,1392-09-03,4470,6660,2310
400242,1393-01-11,1393-02-02,3330,4890,1710
500609,1393-01-19,1393-02-09,0,0,30160
400527,1393-01-18,1393-02-08,2680,3200,1800
400527,1393-02-08,1393-03-10,0,0,0
500609,1393-02-09,1393-03-11,0,0,46640
500563,1393-02-25,1393-03-25,5800,8640,2880
400242,1393-03-01,1393-04-05,5700,9120,3150
400527,1393-03-10,1393-04-10,3180,9860,2680
500609,1393-03-11,1393-04-12,0,0,45360
400242,1393-04-05,1393-05-05,4230,8070,2520
400242,1393-05-05,1393-06-06,3210,5520,1650
400242,1393-06-06,1393-07-01,3720,6120,1890
500563,1393-05-27,1393-06-27,5920,8840,2960
400527,1393-06-10,1393-07-12,4940,7880,2620
500609,1393-06-11,1393-07-13,0,0,43640
500563,1393-06-27,1393-07-29,6440,9640,3240
500563,1393-07-29,1393-08-25,5520,8560,2840
400242,1393-08-06,1393-09-09,5070,7410,2610
500609,1393-08-16,1393-09-15,0,0,30080
400527,1393-08-11,1393-09-11,2120,3760,1620
400242,1393-09-09,1393-10-09,5160,7650,2610
400527,1393-09-11,1393-10-13,880,1100,440
500609,1393-09-15,1393-10-14,0,0,0
400242,1393-10-09,1393-11-07,5250,8190,2700
500563,1393-10-04,1393-10-24,11560,17080,5720
500563,1393-10-24,1393-11-27,0,0,0
400242,1392-11-29,1393-01-11,7890,11640,3870
500563,1392-12-21,1393-01-27,7160,11040,3560
400242,1393-02-02,1393-03-01,4290,6930,2220
500563,1393-01-27,1393-02-25,5720,8480,2840
500563,1393-03-25,1393-04-26,6000,9040,3000
400527,1393-04-10,1393-05-12,2460,3900,1300
500609,1393-04-12,1393-05-14,0,0,40880
500563,1393-04-26,1393-05-27,5960,8960,2960
500609,1393-05-14,1393-06-11,0,0,37480
400527,1393-05-12,1393-06-10,3120,5600,1740
400242,1393-07-01,1393-08-06,5190,7560,2580
400527,1393-07-12,1393-08-11,2440,4940,1840
500609,1393-07-13,1393-08-16,0,0,34800
500563,1393-08-25,1393-10-04,0,0,0
500609,1393-10-14,1393-11-16,0,0,0
400527,1393-10-13,1393-11-12,0,0,0
500609,1393-11-16,1393-12-07,0,0,0
400527,1393-11-12,1393-12-06,0,0,0
400242,1393-11-07,1393-11-30,6150,8910,3120
500609,1392-12-07,1393-01-19,0,0,66960
500563,1392-11-20,1392-12-21,5040,8040,2600
400527,1392-12-06,1393-01-18,3840,5920,2720
500609,1393-12-07,1394-01-22,0,0,41360
400527,1393-12-06,1394-01-20,1560,2600,920
500609,1394-02-17,1394-03-17,0,0,40240
400527,1394-02-14,1394-03-18,2080,4140,1720
400242,1394-04-09,1394-05-07,4530,7050,2460
500563,1394-04-04,1394-05-01,6560,9960,3440
500609,1394-04-16,1394-05-12,0,0,35440
500563,1394-05-01,1394-06-02,6080,9160,3040
400527,1394-06-15,1394-07-12,3300,4780,2540
500609,1394-06-16,1394-07-13,0,0,35520
500563,1394-06-28,1394-08-04,6960,10120,3600
500563,1394-08-04,1394-08-24,1160,2880,0
400527,1394-07-12,1394-08-13,2960,5380,2080
400242,1394-09-08,1394-10-07,4860,6660,2250
400527,1394-09-15,1394-10-12,0,0,0
400242,1394-10-07,1394-11-08,5130,5850,3300
400527,1394-11-13,1394-12-09,2680,4600,2180
500563,1393-11-27,1393-12-27,0,0,0
400242,1393-11-30,1394-01-15,9360,14130,4830
500563,1393-12-27,1394-01-29,14000,23440,7360
400242,1394-01-15,1394-02-12,3990,6060,2010
400527,1394-01-20,1394-02-14,1240,3980,1620
500609,1394-01-22,1394-02-17,0,0,36480
500563,1394-01-29,1394-02-30,6280,9480,3160
400242,1394-02-12,1394-02-31,3120,5220,1800
500563,1394-02-30,1394-04-04,5320,8040,2680
400242,1394-02-31,1394-04-09,5040,8640,2880
400527,1394-03-18,1394-04-14,3320,7840,2700
500609,1394-03-17,1394-04-16,0,0,39960
400527,1394-04-14,1394-05-11,3400,5980,2520
400242,1394-05-07,1394-06-08,7230,11220,3810
400527,1394-05-11,1394-06-15,4900,8000,3680
500609,1394-05-12,1394-06-16,0,0,44520
500563,1394-06-02,1394-06-28,6560,9000,4080
400242,1394-06-08,1394-07-06,6300,9540,3150
400242,1394-07-06,1394-08-09,6540,9780,3420
400242,1394-08-09,1394-09-08,5760,8790,2880
400527,1394-08-13,1394-09-15,1160,3160,1560
500563,1394-08-24,1394-09-26,6040,8720,3200
500563,1394-09-26,1394-10-24,0,0,0
400527,1394-10-12,1394-11-13,0,0,0
400242,1394-11-08,1394-12-02,5100,5700,2910
500563,1394-10-24,1394-11-26,0,0,0
400527,1394-12-09,1395-01-23,640,1080,720
500609,1394-07-13,1395-01-24,0,680,53480
500563,1395-01-15,1395-02-01,5840,8680,3080
400527,1395-01-23,1395-02-14,380,700,520
500609,1395-01-24,1395-02-15,0,160,15400
400527,1395-02-14,1395-03-16,1080,4100,1380
500609,1395-02-15,1395-03-18,0,400,30480
500563,1395-03-03,1395-03-30,6000,8880,3000
400242,1395-03-10,1395-04-08,7230,10290,3690
500563,1395-03-30,1395-05-01,6040,8960,3080
400242,1395-04-08,1395-05-10,6630,10050,3600
400527,1395-04-16,1395-05-13,760,1940,860
500609,1395-03-18,1395-05-16,0,0,60600
500563,1395-05-01,1395-05-29,5600,9720,3320
400242,1395-05-10,1395-06-11,1560,2880,930
500563,1395-05-29,1395-07-02,5720,11840,4000
400242,1395-07-11,1395-08-09,2700,4470,1560
400527,1395-07-16,1395-08-15,1400,3400,1280
500563,1395-09-08,1395-10-01,0,0,0
400242,1395-09-13,1395-10-08,2640,4410,1380
500609,1395-08-28,1395-10-16,0,0,0
400527,1395-09-21,1395-10-15,0,0,0
400242,1395-11-10,1395-12-07,2850,4710,1470
400527,1395-11-12,1395-12-16,0,0,0
500609,1395-11-12,1395-12-15,0,0,0
400242,1394-12-02,1395-01-17,1020,6150,0
500563,1394-11-26,1395-01-15,2520,3920,680
400242,1395-01-17,1395-02-10,3180,5130,1290
500563,1395-02-01,1395-03-03,6400,9840,3240
400242,1395-02-10,1395-03-10,6990,9390,3450
400527,1395-03-16,1395-04-16,1020,2400,1080
400527,1395-05-13,1395-06-15,2000,1980,1040
400242,1395-06-11,1395-07-11,2700,4980,1920
400527,1395-06-15,1395-07-16,3380,5140,2240
500563,1395-07-02,1395-08-02,6480,4640,1560
500563,1395-08-02,1395-09-08,4200,5520,3240
400242,1395-08-09,1395-09-13,3510,5520,1860
400527,1395-08-15,1395-09-21,2100,3180,820
500609,1395-05-16,1395-08-28,0,85280,17040
500563,1395-10-01,1395-10-27,0,0,0
400242,1395-10-08,1395-11-10,3420,5610,1830
400527,1395-10-15,1395-11-12,0,0,0
500609,1395-10-16,1395-11-12,0,0,0
500563,1395-10-27,1395-11-25,0,0,0
500563,1396-02-02,1396-02-31,4520,10560,3400
500563,1396-02-31,1396-04-04,6000,9600,3200
400527,1396-03-17,1396-04-17,3880,6040,2420
400242,1396-04-12,1396-05-12,6210,10260,3390
400242,1396-06-12,1396-07-12,3300,5490,1830
400242,1396-07-12,1396-08-13,2400,3780,1200
400242,1396-08-13,1396-09-13,1470,2160,750
500563,1396-09-05,1396-10-05,0,0,0
400527,1396-09-21,1396-10-14,1540,5500,2120
500609,1396-09-21,1396-10-16,0,0,0
400242,1396-10-13,1396-11-08,1620,2400,810
500563,1396-11-02,1396-11-30,14720,22480,7520
400242,1396-11-08,1396-12-10,2280,3840,1170
400527,1396-11-15,1396-12-12,0,0,0
500609,1396-11-14,1396-12-12,0,0,0
400242,1395-12-24,1396-01-19,2730,4230,1440
500609,1395-12-15,1396-01-21,14600,27280,8240
400527,1395-12-16,1396-01-21,0,0,0
500563,1395-12-22,1396-02-02,17880,27840,8200
400242,1396-01-19,1396-02-04,2010,3420,1320
500563,1395-11-25,1395-12-22,0,0,0
400242,1395-12-07,1395-12-24,1860,2880,960
500609,1396-01-21,1396-02-17,18080,27600,9280
400527,1396-01-21,1396-02-16,480,2960,920
400242,1396-02-04,1396-03-11,6120,9870,3120
500609,1396-02-17,1396-03-17,13200,19400,6600
400527,1396-02-16,1396-03-17,1900,4720,1860
400242,1396-03-11,1396-04-12,6660,9990,3540
500609,1396-03-17,1396-04-18,14320,21320,7160
500563,1396-04-04,1396-05-03,6000,8000,3600
400527,1396-04-17,1396-05-15,4900,6920,2680
500609,1396-04-18,1396-05-17,13640,20400,6840
500563,1396-05-03,1396-05-30,8640,8920,2200
400242,1396-05-12,1396-06-12,4200,7290,2610
500609,1396-05-17,1396-06-19,15000,22480,7480
400527,1396-05-15,1396-06-19,5120,9080,3360
500563,1396-05-30,1396-07-01,6640,9920,3280
500609,1396-06-19,1396-07-18,15600,18920,3400
400527,1396-06-19,1396-07-18,2500,5100,1500
500563,1396-07-01,1396-08-03,6720,9960,3320
400527,1396-07-18,1396-08-16,2120,5540,1880
500609,1396-07-18,1396-08-16,10720,20240,9800
500563,1396-08-03,1396-09-05,1280,1920,680
500609,1396-08-16,1396-09-21,13920,21480,7240
400527,1396-08-16,1396-09-21,0,0,0
400242,1396-09-13,1396-10-13,1800,2580,840
500563,1396-10-05,1396-11-02,0,0,0
500609,1396-10-16,1396-11-14,0,0,0
400527,1396-10-14,1396-11-15,0,0,0
500563,1396-11-30,1397-01-17,6800,7600,3400
400242,1396-12-10,1397-01-21,3120,4710,1530
400527,1396-12-12,1397-01-29,0,0,0
500609,1396-12-12,1397-01-28,14360,21560,7440
500609,1397-01-28,1397-02-18,7960,9520,3920
400527,1397-01-29,1397-02-15,2400,8460,4000
400527,1397-02-15,1397-03-01,480,2100,960
400242,1397-02-09,1397-03-11,2400,4020,1290
500563,1397-02-28,1397-04-04,10120,15280,5080
400242,1397-03-11,1397-04-13,5880,8880,3030
400527,1397-03-01,1397-04-20,2740,8180,3100
500609,1397-03-20,1397-04-21,15680,19600,7480
500563,1397-04-04,1397-05-07,7280,12120,3360
400242,1397-05-12,1397-06-12,6450,9960,3480
400242,1397-06-12,1397-07-14,3090,5910,1890
500609,1397-07-21,1397-08-22,16560,24920,8200
400527,1397-07-21,1397-08-20,2500,5260,1620
400242,1397-07-14,1397-08-14,1260,1890,720
400242,1397-08-14,1397-09-14,1800,2880,960
400527,1397-09-23,1397-10-22,460,2260,500
400242,1397-10-11,1397-11-14,2970,3900,1170
400527,1397-10-22,1397-11-16,0,0,0
400242,1397-11-14,1397-12-09,2340,4320,1470
400527,1397-11-16,1397-12-16,0,0,0
500563,1397-01-17,1397-02-05,6280,11960,3440
400242,1397-01-21,1397-02-09,1200,1860,630
500563,1397-02-05,1397-02-28,4680,7520,2440
500609,1397-02-18,1397-03-20,17920,28400,8920
400242,1397-04-13,1397-05-12,7140,11100,3660
400527,1397-04-20,1397-05-20,3100,6400,2460
500609,1397-04-21,1397-05-21,20440,32480,10480
500563,1397-05-07,1397-06-06,10520,13960,5480
500563,1397-06-06,1397-07-09,8520,12040,5480
400527,1397-05-20,1397-06-17,3940,6760,2280
500609,1397-05-21,1397-06-18,17360,26200,8480
500609,1397-06-18,1397-07-21,21680,32520,10880
400527,1397-06-17,1397-07-21,3540,6760,1740
500563,1397-07-09,1397-08-02,7440,11880,2480
500563,1397-08-02,1397-09-07,4560,8920,1920
400527,1397-08-20,1397-09-23,420,1700,620
500563,1397-09-07,1397-10-04,8440,10520,4680
400242,1397-09-14,1397-10-11,2520,3810,1260
500563,1397-10-04,1397-11-01,0,0,0
500563,1397-11-01,1397-11-30,15840,23960,8040
500563,1397-11-30,1398-01-17,12320,18920,6320
400527,1397-12-16,1398-01-28,2040,6400,1980
500609,1397-08-22,1398-01-31,27640,41720,13840
500563,1398-01-17,1398-02-10,9160,15800,4160
400527,1398-02-26,1398-03-23,860,3220,2460
500609,1398-02-27,1398-03-23,16680,21920,11120
400242,1398-02-17,1398-03-18,3570,3660,2610
500563,1398-03-10,1398-04-08,0,0,2040
500563,1398-04-08,1398-05-08,9760,8560,7360
400242,1398-04-13,1398-05-14,11790,15060,9960
500609,1398-04-25,1398-05-24,19720,24440,14080
500563,1398-06-02,1398-07-01,9960,12320,7440
500609,1398-05-24,1398-07-01,28440,34840,21120
400242,1398-06-02,1398-07-01,5610,7560,4740
400527,1398-06-02,1398-07-01,2820,3640,2360
400242,1398-03-18,1398-07-01,25680,32850,20490
400527,1398-07-01,1398-08-01,2160,6040,1460
500609,1398-07-01,1398-08-01,16480,26720,6160
500563,1398-07-01,1398-08-01,10000,16600,3880
400242,1398-07-01,1398-08-01,4590,7500,1710
500609,1398-09-01,1398-10-01,7760,12840,3120
500563,1398-09-01,1398-10-01,10240,16840,3960
400527,1398-09-01,1398-10-01,440,2640,1040
400242,1398-09-01,1398-10-01,2610,4200,960
500609,1398-09-01,1398-10-01,7760,12840,3120
400242,1398-10-01,1398-10-27,2400,3990,960
500609,1398-10-01,1398-10-27,0,0,0
500563,1398-10-01,1398-10-27,8120,13120,3080
400527,1398-10-01,1398-10-27,0,0,0
500609,1398-11-25,1398-12-25,11720,19160,4280
400242,1398-11-25,1398-12-25,2850,4680,1080
400527,1398-11-25,1398-12-25,0,0,0
400242,1397-12-09,1398-01-21,3390,5040,1770
400242,1398-01-21,1398-02-17,2190,4860,1170
500609,1398-01-31,1398-02-27,20040,29440,9800
400527,1398-01-28,1398-02-26,1720,4940,1220
500563,1398-02-10,1398-03-10,9840,14800,5080
400242,1398-03-18,1398-04-13,3030,3840,1890
400527,1398-03-23,1398-04-23,1180,3220,2120
500609,1398-03-23,1398-04-25,17520,21920,14000
500563,1398-05-08,1398-06-02,8000,10120,6200
400242,1398-05-14,1398-06-02,5250,6390,3900
400527,1398-04-23,1398-06-02,6420,6700,5620
500609,1398-08-01,1398-09-01,16120,25720,6040
400242,1398-08-01,1398-09-01,2040,3270,720
500563,1398-08-01,1398-09-01,10240,16200,3720
400527,1398-08-01,1398-09-01,660,2520,740
400527,1398-10-27,1398-11-25,0,0,0
400242,1398-10-27,1398-11-25,2670,4350,990
500563,1398-10-27,1398-11-25,8040,13560,3280
500609,1398-10-27,1398-11-25,0,0,0
500563,1398-11-25,1398-12-25,10920,18240,4280
500609,1398-12-25,1399-01-20,13760,22600,5400
400527,1398-12-25,1399-01-20,1180,2120,420
400242,1399-01-20,1399-02-20,3360,5130,1110
400527,1399-01-20,1399-02-20,460,1400,460
500609,1399-01-20,1399-02-20,13240,21280,4960
400527,1399-02-20,1399-03-18,1000,2920,1880
500609,1399-02-20,1399-03-18,17280,23680,9920
400242,1399-02-20,1399-03-18,4080,5640,2550
500563,1399-02-20,1399-03-18,9640,13720,5800
500609,1399-03-18,1399-04-18,18160,21760,12960
400527,1399-03-18,1399-04-18,2960,3440,2040
500609,1399-04-18,1399-05-18,15680,18960,10960
500563,1399-04-18,1399-05-18,10080,12560,7560
400242,1399-05-18,1399-06-18,5910,7950,5430
400527,1399-05-18,1399-06-18,2420,3540,2380
500563,1399-05-18,1399-06-18,10320,12720,7680
500609,1399-05-18,1399-06-18,16520,20560,12160
500563,1399-06-18,1399-07-18,10280,14760,5400
400527,1399-06-18,1399-07-18,1560,2780,1500
500609,1399-06-18,1399-07-18,16240,23440,8800
400242,1399-06-18,1399-07-18,3690,5070,2490
500563,1399-11-18,1399-12-13,10800,17480,4040
500609,1399-11-18,1399-12-13,8440,14360,3360
400242,1399-11-18,1399-12-13,2190,3660,840
400527,1399-11-18,1399-12-13,280,620,160
500563,1399-07-18,1399-08-18,11040,17840,4080
400527,1399-07-18,1399-08-18,540,2640,880
400242,1399-07-18,1399-08-18,1830,3000,660
500609,1399-07-18,1399-08-18,15720,25320,5880
500609,1399-08-18,1399-09-17,14320,23560,5560
400242,1399-08-18,1399-09-17,1830,3000,690
500563,1399-08-18,1399-09-17,10680,17600,4040
400527,1399-08-18,1399-09-17,1060,3860,1340
500609,1399-09-17,1399-10-17,400,600,200
400527,1399-09-17,1399-10-17,1220,2500,620
400242,1399-09-17,1399-10-17,1770,2910,660
500563,1399-09-17,1399-10-17,11840,19080,4440
500609,1399-10-17,1399-11-18,0,160,40
500563,1399-10-17,1399-11-18,12840,21040,4840
400527,1399-10-17,1399-11-18,80,260,60
400242,1399-10-17,1399-11-18,2280,3900,960
400242,1398-12-25,1399-01-20,1800,2970,660
500563,1398-12-25,1399-01-20,8760,14200,3200
500563,1399-01-20,1399-02-20,6520,11120,2560
400242,1399-03-18,1399-04-18,5760,7590,4650
500563,1399-03-18,1399-04-18,10000,12440,7480
400527,1399-04-18,1399-05-18,2280,3860,2760
400242,1399-04-18,1399-05-18,7200,9360,5760
